1,109
2,350
3,4909
4,200
5,446
9,767
12,406
13,582
16,7072
17,3045
18,755
19,10450
20,630
22,584
23,51
25,88
26,3458
28,139
29,667
30,3078
31,449
32,105
33,9644
35,230
36,126
37,105
38,9296
39,270
40,271
41,814
42,172
43,234
44,531
45,156
46,10783
47,200
48,588
49,268
50,538
51,707
52,13
53,4512
54,8914
55,772
57,2997
59,588
60,2841
61,449
62,1278
64,6746
65,10189
66,2768
68,16091
69,367
70,3217
71,740
75,410
76,3381
77,6529
78,3493
79,7838
80,406
81,203
82,12501
83,10210
84,4837
85,271
86,15572
87,479
88,172
90,755
91,1278
92,204
93,711
94,1630
96,20
98,767
99,614
101,541
102,614
103,9196
104,502
105,582
106,740
107,526
108,3045
109,117
110,13552
111,12170
113,398
114,707
116,102
117,4861
118,230
120,10245
122,203
124,130
125,566
126,203
127,614
128,130
130,778
131,200
132,681
133,5241
134,11196
135,552
136,393
137,13605
138,276
139,326
141,343
143,755
145,719
146,176
148,186
149,3362
150,4629
151,305
152,615
157,12974
158,270
159,12750
160,13552
161,266
162,270
163,12086
165,11629
166,479
168,598
169,260
170,534
172,6948
173,88
174,408
175,562
176,550
177,17179
180,4524
181,566
182,10164
185,11690
186,550
188,566
190,227
192,378
193,707
194,15954
195,534
197,815
198,618
200,114
203,159
204,367
207,13536
209,305
210,380
211,755
212,815
214,8648
215,707
216,8337
218,793
219,631
220,601
221,719
222,606
223,159
225,13
227,271
228,346
229,5160
230,1709
231,783
232,419
233,740
234,10865
235,70
239,380
240,234
241,319
242,17022
243,2459
244,71
247,489
249,701
250,271
251,761
253,16601
256,2459
257,12705
258,12501
259,746
260,10865
261,10844
262,13351
263,520
264,13
265,114
266,566
268,270
269,221
270,12705
271,159
272,247
273,3173
275,270
276,12086
277,14387
279,255
280,7611
281,550
283,9194
285,103
286,259
288,3869
289,233
290,11569
291,380
294,40
295,93
298,718
299,641
300,11044
301,17040
302,406
303,7090
304,502
305,3217
306,3187
307,117
310,223
313,193
314,380
315,79
316,455
317,675
318,270
319,270
321,15077
322,163
323,588
324,163
325,319
326,4524
327,582
329,130
330,8966
331,534
334,638
336,497
337,33
340,266
342,16884
343,163
344,93
345,618
346,130
347,4909
349,255
350,270
352,186
353,4909
354,234
355,560
